version,data_stage,name,mean_jerk
1.4.0,raw,total,69.23148960981302
1.4.0,processed,total,21.37699466731485
1.4.0,raw,nose,35.085215750897575
1.4.0,raw,left_eye_inner,34.21738971711514
1.4.0,raw,left_eye,33.9117630709555
1.4.0,raw,left_eye_outer,33.45798680143825
1.4.0,raw,right_eye_inner,34.913967392802036
1.4.0,raw,right_eye,35.3479174394907
1.4.0,raw,right_eye_outer,35.956383279845
1.4.0,raw,left_ear,30.350068017291846
1.4.0,raw,right_ear,33.51327094620586
1.4.0,raw,mouth_left,32.59743643765967
1.4.0,raw,mouth_right,33.44759281036321
1.4.0,raw,left_shoulder,34.49528314328075
1.4.0,raw,right_shoulder,31.63536150654903
1.4.0,raw,left_elbow,76.28482532368719
1.4.0,raw,right_elbow,68.86241361958946
1.4.0,raw,left_wrist,114.29783422467382
1.4.0,raw,right_wrist,109.24667375919671
1.4.0,raw,left_pinky,136.3702762328729
1.4.0,raw,right_pinky,137.33706819047708
1.4.0,raw,left_index,135.0174574835156
1.4.0,raw,right_index,134.24193216620748
1.4.0,raw,left_thumb,127.21572075927175
1.4.0,raw,right_thumb,122.90787778593304
1.4.0,raw,left_hip,35.096495369768625
1.4.0,raw,right_hip,33.772050446439934
1.4.0,raw,left_knee,56.866375380808606
1.4.0,raw,right_knee,56.43987282356423
1.4.0,raw,left_ankle,78.75871924596872
1.4.0,raw,right_ankle,71.44226770461998
1.4.0,raw,left_heel,90.42231322662185
1.4.0,raw,right_heel,85.9213791132596
1.4.0,raw,left_foot_index,92.29326733975168
1.4.0,raw,right_foot_index,82.91470061370708
1.4.0,processed,nose,14.035894826094852
1.4.0,processed,left_eye_inner,14.313272202275359
1.4.0,processed,left_eye,14.262366943600334
1.4.0,processed,left_eye_outer,14.147076029907428
1.4.0,processed,right_eye_inner,14.514099454225097
1.4.0,processed,right_eye,14.615817721296514
1.4.0,processed,right_eye_outer,14.739228681061816
1.4.0,processed,left_ear,15.484672238300776
1.4.0,processed,right_ear,16.779931063287044
1.4.0,processed,mouth_left,13.30522822465424
1.4.0,processed,mouth_right,13.468569947181773
1.4.0,processed,left_shoulder,12.600914957154863
1.4.0,processed,right_shoulder,12.995642714031007
1.4.0,processed,left_elbow,19.41105643312025
1.4.0,processed,right_elbow,20.09440941079518
1.4.0,processed,left_wrist,33.46492550021823
1.4.0,processed,right_wrist,31.008685574095537
1.4.0,processed,left_pinky,39.90554353810908
1.4.0,processed,right_pinky,35.927865312092436
1.4.0,processed,left_index,40.568634027715454
1.4.0,processed,right_index,36.35495555872233
1.4.0,processed,left_thumb,38.234756623409936
1.4.0,processed,right_thumb,34.41448875678023
1.4.0,processed,left_hip,11.024094768423932
1.4.0,processed,right_hip,11.149073390114616
1.4.0,processed,left_knee,17.01385069581076
1.4.0,processed,right_knee,17.70634140294189
1.4.0,processed,left_ankle,20.28032077054348
1.4.0,processed,right_ankle,21.02710805806764
1.4.0,processed,left_heel,23.3179620299104
1.4.0,processed,right_heel,23.241976343334976
1.4.0,processed,left_foot_index,23.393216148831844
1.4.0,processed,right_foot_index,22.63884467528078
