version,data_stage,name,mean_jerk
1.2.2,raw,total,51.11866395603081
1.2.2,processed,total,19.7465898980168
1.2.2,raw,nose,25.116972810880853
1.2.2,raw,left_eye_inner,25.030904082309693
1.2.2,raw,left_eye,24.898348114696496
1.2.2,raw,left_eye_outer,25.083193253327387
1.2.2,raw,right_eye_inner,24.881971843783617
1.2.2,raw,right_eye,24.995652509525232
1.2.2,raw,right_eye_outer,25.382814931736043
1.2.2,raw,left_ear,28.098743720989532
1.2.2,raw,right_ear,30.7399792324501
1.2.2,raw,mouth_left,28.65408828713481
1.2.2,raw,mouth_right,29.806857112166455
1.2.2,raw,left_shoulder,27.940033872221544
1.2.2,raw,right_shoulder,26.71038705016283
1.2.2,raw,left_elbow,57.30515606000495
1.2.2,raw,right_elbow,63.75074971169173
1.2.2,raw,left_wrist,90.15247836268122
1.2.2,raw,right_wrist,96.1151367148851
1.2.2,raw,left_pinky,103.23564030241782
1.2.2,raw,right_pinky,113.45995350219691
1.2.2,raw,left_index,101.89952656843732
1.2.2,raw,right_index,113.8067369086725
1.2.2,raw,left_thumb,96.52571901127595
1.2.2,raw,right_thumb,105.81333762155845
1.2.2,raw,left_hip,18.65759429468958
1.2.2,raw,right_hip,17.68692163434416
1.2.2,raw,left_knee,32.722856919160314
1.2.2,raw,right_knee,33.84904513931447
1.2.2,raw,left_ankle,37.85731922480235
1.2.2,raw,right_ankle,48.46629043561493
1.2.2,raw,left_heel,45.58074813927878
1.2.2,raw,right_heel,56.53779968667092
1.2.2,raw,left_foot_index,45.855797122485974
1.2.2,raw,right_foot_index,60.29715636744812
1.2.2,processed,nose,12.01527383836617
1.2.2,processed,left_eye_inner,12.391854775469154
1.2.2,processed,left_eye,12.308477489295235
1.2.2,processed,left_eye_outer,12.191959457061424
1.2.2,processed,right_eye_inner,12.390685823852014
1.2.2,processed,right_eye,12.455163383754908
1.2.2,processed,right_eye_outer,12.556224743345972
1.2.2,processed,left_ear,13.060849414038644
1.2.2,processed,right_ear,13.9974941629982
1.2.2,processed,mouth_left,12.977287293566073
1.2.2,processed,mouth_right,13.255586412530405
1.2.2,processed,left_shoulder,11.694621133279798
1.2.2,processed,right_shoulder,12.526873359198596
1.2.2,processed,left_elbow,18.380424105501543
1.2.2,processed,right_elbow,19.52472409064338
1.2.2,processed,left_wrist,31.529572016021667
1.2.2,processed,right_wrist,29.537652067108063
1.2.2,processed,left_pinky,37.58894424967405
1.2.2,processed,right_pinky,34.133147878424175
1.2.2,processed,left_index,38.5003808086977
1.2.2,processed,right_index,34.96855349682761
1.2.2,processed,left_thumb,36.310327237493645
1.2.2,processed,right_thumb,33.20127772185233
1.2.2,processed,left_hip,8.56969274931608
1.2.2,processed,right_hip,8.636063206689638
1.2.2,processed,left_knee,14.086497261060302
1.2.2,processed,right_knee,14.343924513206511
1.2.2,processed,left_ankle,19.481417599173692
1.2.2,processed,right_ankle,19.59489179431053
1.2.2,processed,left_heel,23.073492099848774
1.2.2,processed,right_heel,21.577047167201822
1.2.2,processed,left_foot_index,23.036330005213188
1.2.2,processed,right_foot_index,21.74075527953313
