version,data_stage,name,mean_jerk
1.4.7,raw,total,51.11866395603081
1.4.7,processed,total,51.467948043749495
1.4.7,raw,nose,25.116972810880853
1.4.7,raw,left_eye_inner,25.030904082309693
1.4.7,raw,left_eye,24.898348114696496
1.4.7,raw,left_eye_outer,25.083193253327387
1.4.7,raw,right_eye_inner,24.881971843783617
1.4.7,raw,right_eye,24.995652509525232
1.4.7,raw,right_eye_outer,25.382814931736043
1.4.7,raw,left_ear,28.098743720989532
1.4.7,raw,right_ear,30.7399792324501
1.4.7,raw,mouth_left,28.65408828713481
1.4.7,raw,mouth_right,29.806857112166455
1.4.7,raw,left_shoulder,27.940033872221544
1.4.7,raw,right_shoulder,26.71038705016283
1.4.7,raw,left_elbow,57.30515606000495
1.4.7,raw,right_elbow,63.75074971169173
1.4.7,raw,left_wrist,90.15247836268122
1.4.7,raw,right_wrist,96.1151367148851
1.4.7,raw,left_pinky,103.23564030241782
1.4.7,raw,right_pinky,113.45995350219691
1.4.7,raw,left_index,101.89952656843732
1.4.7,raw,right_index,113.8067369086725
1.4.7,raw,left_thumb,96.52571901127595
1.4.7,raw,right_thumb,105.81333762155845
1.4.7,raw,left_hip,18.65759429468958
1.4.7,raw,right_hip,17.68692163434416
1.4.7,raw,left_knee,32.722856919160314
1.4.7,raw,right_knee,33.84904513931447
1.4.7,raw,left_ankle,37.85731922480235
1.4.7,raw,right_ankle,48.46629043561493
1.4.7,raw,left_heel,45.58074813927878
1.4.7,raw,right_heel,56.53779968667092
1.4.7,raw,left_foot_index,45.855797122485974
1.4.7,raw,right_foot_index,60.29715636744812
1.4.7,processed,nose,25.175524741636714
1.4.7,processed,left_eye_inner,25.136675481846847
1.4.7,processed,left_eye,24.982071832604582
1.4.7,processed,left_eye_outer,25.128527478157164
1.4.7,processed,right_eye_inner,25.123904257950016
1.4.7,processed,right_eye,25.304964336304334
1.4.7,processed,right_eye_outer,25.75831222875348
1.4.7,processed,left_ear,31.97790634721032
1.4.7,processed,right_ear,36.38993141156821
1.4.7,processed,mouth_left,33.35477772494009
1.4.7,processed,mouth_right,35.57535456848045
1.4.7,processed,left_shoulder,28.039744037669003
1.4.7,processed,right_shoulder,27.044418979262
1.4.7,processed,left_elbow,57.16588024746998
1.4.7,processed,right_elbow,63.276184602349865
1.4.7,processed,left_wrist,88.40670604774407
1.4.7,processed,right_wrist,94.30183618121062
1.4.7,processed,left_pinky,101.14126287436368
1.4.7,processed,right_pinky,111.14522108204116
1.4.7,processed,left_index,99.84115797818151
1.4.7,processed,right_index,111.46538912652524
1.4.7,processed,left_thumb,94.59247274781818
1.4.7,processed,right_thumb,103.67120512043809
1.4.7,processed,left_hip,19.086047616237714
1.4.7,processed,right_hip,18.335157055337557
1.4.7,processed,left_knee,33.23992913087444
1.4.7,processed,right_knee,33.34282527939738
1.4.7,processed,left_ankle,40.20958854648748
1.4.7,processed,right_ankle,47.66880588525143
1.4.7,processed,left_heel,47.35091027535451
1.4.7,processed,right_heel,55.27457355384383
1.4.7,processed,left_foot_index,50.59243278147334
1.4.7,processed,right_foot_index,59.342585884949884
